"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"1859","Welcome to the experiment. Press any key to begin."," ","html-keyboard-response","0","1861","0.0-0.0","","","","","",""
"784","
    <p>In this task, you will see word in a color</p>
    <p style='color:red;font-size:60pt;'>BLUE</p>
    <p>Press r, g, b, or y to identify the color, not the word</p>
    <p>E.g., press r for red in this example</p>
    <p>Make your responses as quickly and accurately as possible</p>
    <p>Press any key to begin.</p>
    "," ","html-keyboard-response","1","2647","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5651","0.0-2.0-0.0","fixation","","","","",""
"842","<p style='color:red;font-size:60pt;'>GREEN</p>","r","html-keyboard-response","3","6495","0.0-2.0-1.0","stroop","r","GREEN","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","8501","0.0-2.0-0.1","fixation","","","","",""
"535","<p style='color:yellow;font-size:60pt;'>RED</p>","y","html-keyboard-response","5","9038","0.0-2.0-1.1","stroop","y","RED","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","11041","0.0-2.0-0.2","fixation","","","","",""
"605","<p style='color:blue;font-size:60pt;'>YELLOW</p>","b","html-keyboard-response","7","11648","0.0-2.0-1.2","stroop","b","YELLOW","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","13650","0.0-2.0-0.3","fixation","","","","",""
"741","<p style='color:green;font-size:60pt;'>RED</p>","g","html-keyboard-response","9","14393","0.0-2.0-1.3","stroop","g","RED","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","15396","0.0-2.0-0.4","fixation","","","","",""
"525","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","11","15923","0.0-2.0-1.4","stroop","y","YELLOW","yellow","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","17926","0.0-2.0-0.5","fixation","","","","",""
"640","<p style='color:blue;font-size:60pt;'>GREEN</p>","b","html-keyboard-response","13","18567","0.0-2.0-1.5","stroop","b","GREEN","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","19570","0.0-2.0-0.6","fixation","","","","",""
"650","<p style='color:red;font-size:60pt;'>RED</p>","r","html-keyboard-response","15","20221","0.0-2.0-1.6","stroop","r","RED","red","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","21223","0.0-2.0-0.7","fixation","","","","",""
"437","<p style='color:green;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","17","21661","0.0-2.0-1.7","stroop","g","BLUE","green","Incongruent","false"
